"name","INCHIKEY","FORMULA","SMILES","ID","CAS","MONOISOTOPIC_MASS","parent","transformation","generation","Type","biosystem","REF","NumHDonors","NumHAcceptors"
"Atrazine-TP12","GCKLGRUZDXSATG-UHFFFAOYSA-N","C6H11N5O","NC1=NC(=NC(=N1)O)NC(C)C","28",NA,"169.096359972","Atrazine","EAWAG_RULE_BT0063_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",3,6
"Atrazine-TP14","XRVCXZWINJOORX-UHFFFAOYSA-N","C5H9N5O","CCNC1=NC(=NC(=N1)O)N","29",NA,"155.080709908","Atrazine","EAWAG_RULE_BT0063_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",3,6
"Atrazine-TP5","CSCPPACGZOOCGX-UHFFFAOYSA-N","C3H6O","C(C)(C)=O","30",NA,"58.041864812","Atrazine","EAWAG_RULE_BT0063_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",0,1
"S-Metolachlor-TP1","YRHZCHBPHOEWCA-LBPRGKRZSA-N","C15H23NO3","CCC1=CC=CC(=C1N([C@@H](C)COC)C(=O)CO)C","1",NA,"265.167793596","S-Metolachlor","EAWAG_RULE_BT0022_PATTERN1","1","TP","ENVMICRO","BioTransformer_env",1,3
"S-Metolachlor-TP2","GHHYITCOBSSFOD-NSHDSACASA-N","C14H18ClNO2","CCC1=CC=CC(=C1N([C@@H](C)C=O)C(=O)CCl)C","2",NA,"267.102606496","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","1","TP","ENVMICRO","BioTransformer_env",0,2
"S-Metolachlor-TP3","OKKJLVBELUTLKV-UHFFFAOYSA-N","CH4O","CO","3",NA,"32.026214748","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","1","TP","ENVMICRO","BioTransformer_env",1,1
"S-Metolachlor-TP4","RNRZTRIOAPZEME-NSHDSACASA-N","C14H20ClNO2","CCC1=CC=CC(=C1N([C@@H](C)CO)C(=O)CCl)C","4",NA,"269.11825656","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","1","TP","ENVMICRO","BioTransformer_env",1,2
"S-Metolachlor-TP5","AQQKRTUHCOLVTD-LBPRGKRZSA-N","C15H23NO2","CCC1=CC=CC(=C1N([C@@H](C)COC)C(=O)C)C","5",NA,"249.172878976","S-Metolachlor","EAWAG_RULE_BT0029","1","TP","ENVMICRO","BioTransformer_env",0,2
"S-Metolachlor-TP6","WMEYYRXKXJTLEI-NSHDSACASA-N","C15H23ClNO3","CCC1=CC=CC(=C1N([C@@H](C)COC)C(=O)CCl)[CH3]O","6",NA,"300.136646276","S-Metolachlor","EAWAG_RULE_BT0036","1","TP","ENVMICRO","BioTransformer_env",NA,NA
"S-Metolachlor-TP7","RHQOAOWAVCKBEK-PXYINDEMSA-N","C15H22ClNO3","CC(C1=CC=CC(=C1N([C@@H](C)COC)C(=O)CCl)C)O","7",NA,"299.128821244","S-Metolachlor","EAWAG_RULE_BT0242_PATTERN3","1","TP","ENVMICRO","BioTransformer_env",1,3
"S-Metolachlor-TP8","SMINYPCTNJDYGK-UHFFFAOYSA-N","C11H14ClNO","CCC1=CC=CC(=C1NC(=O)CCl)C","8",NA,"211.076391748","S-Metolachlor","EAWAG_RULE_BT0243","1","TP","ENVMICRO","BioTransformer_env",1,1
"S-Metolachlor-TP9","ARXJGSRGQADJSQ-UHFFFAOYSA-N","C4H10O2","C(C)(COC)O","9",NA,"90.06807956","S-Metolachlor","EAWAG_RULE_BT0243","1","TP","ENVMICRO","BioTransformer_env",1,2
"S-Metolachlor-TP10","YXWIRQHVEQIJOV-NSHDSACASA-N","C13H21NO","CCC1=CC=CC(=C1N[C@@H](C)COC)C","10",NA,"207.162314292","S-Metolachlor","EAWAG_RULE_BT0430","1","TP","ENVMICRO","BioTransformer_env",1,2
"S-Metolachlor-TP12","YAGCQEYTEJUOAE-LBPRGKRZSA-N","C15H21NO3","CCC1=CC=CC(=C1N([C@@H](C)COC)C(=O)C=O)C","12",NA,"263.152143532","S-Metolachlor","EAWAG_RULE_BT0001","2","TP","ENVMICRO","BioTransformer_env",0,3
"S-Metolachlor-TP13","ORVZBJIBLMBRGT-NSHDSACASA-N","C15H24NO4","CCC1=CC=CC(=C1N([C@@H](C)COC)C(=O)CO)[CH3]O","13",NA,"282.170533248","S-Metolachlor","EAWAG_RULE_BT0036","2","TP","ENVMICRO","BioTransformer_env",NA,NA
"S-Metolachlor-TP14","MXMPHDJVYOMMTN-UHFFFAOYSA-N","C11H15NO2","CCC1=CC=CC(=C1NC(=O)CO)C","14",NA,"193.11027872","S-Metolachlor","EAWAG_RULE_BT0243","2","TP","ENVMICRO","BioTransformer_env",2,2
"S-Metolachlor-TP9","ARXJGSRGQADJSQ-UHFFFAOYSA-N","C4H10O2","C(C)(COC)O","15",NA,"90.06807956","S-Metolachlor","EAWAG_RULE_BT0243","2","TP","ENVMICRO","BioTransformer_env",1,2
"S-Metolachlor-TP10","YXWIRQHVEQIJOV-NSHDSACASA-N","C13H21NO","CCC1=CC=CC(=C1N[C@@H](C)COC)C","16",NA,"207.162314292","S-Metolachlor","EAWAG_RULE_BT0430","2","TP","ENVMICRO","BioTransformer_env",1,2
"S-Metolachlor-TP15","AEMRFAOFKBGASW-UHFFFAOYSA-N","C2H4O3","C(=O)(CO)O","17",NA,"76.016043988","S-Metolachlor","EAWAG_RULE_BT0430","2","TP","ENVMICRO","BioTransformer_env",2,2
"S-Metolachlor-TP16","RDRFDPTUOFLSKA-JTQLQIEISA-N","C14H18ClNO3","CCc1cccc(c1N([C@@H](C)C(=O)O)C(=O)CCl)C","18",NA,"283.097521116","S-Metolachlor","EAWAG_RULE_BT0003","2","TP","ENVMICRO","BioTransformer_env",1,2
"S-Metolachlor-TP2","GHHYITCOBSSFOD-NSHDSACASA-N","C14H18ClNO2","CCC1=CC=CC(=C1N([C@@H](C)C=O)C(=O)CCl)C","19",NA,"267.102606496","S-Metolachlor","EAWAG_RULE_BT0001","2","TP","ENVMICRO","BioTransformer_env",0,2
"S-Metolachlor-TP17","LIYYEUUORUOJAR-NSHDSACASA-N","C14H21NO3","CCC1=CC=CC(=C1N([C@@H](C)CO)C(=O)CO)C","20",NA,"251.152143532","S-Metolachlor","EAWAG_RULE_BT0022_PATTERN1","2","TP","ENVMICRO","BioTransformer_env",2,3
"S-Metolachlor-TP18","ATZCCGPZRASKHB-NSHDSACASA-N","C14H21NO2","CCC1=CC=CC(=C1N([C@@H](C)CO)C(=O)C)C","21",NA,"235.157228912","S-Metolachlor","EAWAG_RULE_BT0029","2","TP","ENVMICRO","BioTransformer_env",1,2
"S-Metolachlor-TP19","KYSBOZTWJXZJSZ-JTQLQIEISA-N","C14H21ClNO3","CCC1=CC=CC(=C1N([C@@H](C)CO)C(=O)CCl)[CH3]O","22",NA,"286.120996212","S-Metolachlor","EAWAG_RULE_BT0036","2","TP","ENVMICRO","BioTransformer_env",NA,NA
"S-Metolachlor-TP20","BFOYPTQTOWUSDB-UHFFFAOYSA-N","C14H20ClNO2","CCC1=CC=CC(=C1N(C(C)(C)O)C(=O)CCl)C","23",NA,"269.11825656","S-Metolachlor","EAWAG_RULE_BT0218","2","TP","ENVMICRO","BioTransformer_env",1,2
"S-Metolachlor-TP8","SMINYPCTNJDYGK-UHFFFAOYSA-N","C11H14ClNO","CCC1=CC=CC(=C1NC(=O)CCl)C","24",NA,"211.076391748","S-Metolachlor","EAWAG_RULE_BT0243","2","TP","ENVMICRO","BioTransformer_env",1,1
"S-Metolachlor-TP21","DNIAPMSPPWPWGF-UHFFFAOYSA-N","C3H8O2","C(C)(CO)O","25",NA,"76.052429496","S-Metolachlor","EAWAG_RULE_BT0243","2","TP","ENVMICRO","BioTransformer_env",2,2
"S-Metolachlor-TP22","ALFXNLHLMQREPR-JTQLQIEISA-N","C12H19NO","CCC1=CC=CC(=C1N[C@@H](C)CO)C","26",NA,"193.146664228","S-Metolachlor","EAWAG_RULE_BT0430","2","TP","ENVMICRO","BioTransformer_env",2,2
"S-Metolachlor-TP23","ZJQHWCFUQJFRNY-NSHDSACASA-N","C14H19NO2","CCC1=CC=CC(=C1N([C@@H](C)C=O)C(=O)C)C","28",NA,"233.141578848","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",0,2
"S-Metolachlor-TP3","OKKJLVBELUTLKV-UHFFFAOYSA-N","CH4O","CO","29",NA,"32.026214748","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",1,1
"S-Metolachlor-TP18","ATZCCGPZRASKHB-NSHDSACASA-N","C14H21NO2","CCC1=CC=CC(=C1N([C@@H](C)CO)C(=O)C)C","30",NA,"235.157228912","S-Metolachlor","EAWAG_RULE_BT0023_PATTERN2","2","TP","ENVMICRO","BioTransformer_env",1,2
"S-Metolachlor-TP24","VYEFYLOMCZQCEQ-NSHDSACASA-N","C15H24NO3","CCC1=CC=CC(=C1N([C@@H](C)COC)C(=O)C)[CH3]O","31",NA,"266.175618628","S-Metolachlor","EAWAG_RULE_BT0036","2","TP","ENVMICRO","BioTransformer_env",NA,NA
