mz,ret,int,mod,kmd,HS_num
1051.58573952173,719.417,1141,1.65280428172991,0.3470901449341,83
1001.59265865195,417.432,16101,1.65652985195004,0.343364336742184,85
1051.61868618092,451.003,1519,1.68575094091989,0.314141381267063,86
1051.63483358061,842.284,1874.5,1.70189834060989,0.29799295015755,87
1001.64770420737,806.582,2592,1.71157540736999,0.28831526527199,88
1151.66025569763,795.503,1180,1.73370757762996,0.266181681313583,89
551.851751716141,628.2245,1189,1.88688087614105,0.112998598815011,90
351.942446886833,243.358,1481.5,1.96480180683301,0.0350726909018704,91
601.930580948937,632.43,1170,1.96890366893695,0.0309705667903017,92
251.982196167471,277.177,1986,1.99816396747099,0.00170839924652455,93
201.98559595172,225.33,1038,1.99837019172,0.00150216182490226,93
202.155958273116,264.37,7664,2.168732513116,-0.168871041512091,95
