group	ret	mz	EC_022024	adduct	neutralMass
M429_R796_1833	796.1135	429.309628291143	3062	[M-H]-	429.309628291143
M430_R170_1834	169.791	429.883211546299	216	[M-H]-	429.883211546299
M430_R892_1835	891.694	429.773324020435	573	[M-H]-	429.773324020435
M430_R339_1836	339.4655	429.984651882885	2352	[M-H]-	429.984651882885
M430_R313_1839	312.674	430.245118119383	234	[M-H]-	430.245118119383
M430_R547_1840	547.161	430.235872838199	257.5	[M-H]-	430.235872838199
M430_R811_1841	811.338	430.229395120121	1800	[M-H]-	430.229395120121
M430_R701_1842	701.182	430.201287588904	2469	[M-H]-	430.201287588904
M430_R743_1843	742.569	430.290229544615	1378.5	[M-H]-	430.290229544615
M430_R602_1845	602.4595	430.305273281328	1045	[M-H]-	430.305273281328
M430_R246_1846	246.36	430.29074264575	554	[M-H]-	430.29074264575
M431_R889_1847	889.209	430.760061821278	568	[M-H]-	430.760061821278
M431_R324_1849	324.047	430.983234599745	215	[M-H]-	430.983234599745
M431_R892_1850	891.694	430.77182830077	444	[M-H]-	430.77182830077
M431_R530_1851	530.243	431.042276978535	980.5	[M-H]-	431.042276978535
M431_R838_1853	838.263	431.263982830545	1487	[M-H]-	431.263982830545
M431_R702_1854	702.485	431.202284407084	652	[M-H]-	431.202284407084
M431_R317_1855	316.973	431.203719165966	424	[M-H]-	431.203719165966
M431_R807_1856	806.582	431.318190131309	1615.5	[M-H]-	431.318190131309
M431_R722_1857	722.021	431.298100161997	1597	[M-H]-	431.298100161997
M431_R579_1858	579.303	431.307493614959	493.5	[M-H]-	431.307493614959
M432_R892_1859	891.694	431.761548236681	825.5	[M-H]-	431.761548236681
M432_R183_1860	183.288	431.64902140465	210.5	[M-H]-	431.64902140465
M432_R279_1861	278.836	431.866341168379	235	[M-H]-	431.866341168379
M432_R382_1863	382.063	431.996417802975	794	[M-H]-	431.996417802975
M432_R887_1868	887.347	432.254624771987	235.5	[M-H]-	432.254624771987
M432_R624_1869	624.256	432.237244094012	1410	[M-H]-	432.237244094012
M432_R246_1870	246.36	432.211932636509	792	[M-H]-	432.211932636509
M432_R793_1871	793.04	432.304774630522	2760	[M-H]-	432.304774630522
M432_R665_1872	664.713	432.312671440815	26873.5	[M-H]-	432.312671440815
M433_R892_1873	891.694	432.769352614738	648	[M-H]-	432.769352614738
M433_R382_1875	382.063	432.996152687307	222	[M-H]-	432.996152687307
M433_R613_1878	613.356	433.227563227332	481	[M-H]-	433.227563227332
M433_R335_1879	335.367	433.2183091436	419.5	[M-H]-	433.2183091436
M433_R495_1880	495.109	433.22964745725	259.5	[M-H]-	433.22964745725
M433_R791_1881	791.192	433.291916533811	313	[M-H]-	433.291916533811
M433_R632_1882	632.4295	433.292505898407	5251	[M-H]-	433.292505898407
M434_R381_1886	380.649	433.993815078213	455.5	[M-H]-	433.993815078213
M434_R201_1887	201.306	434.118708640038	288.5	[M-H]-	434.118708640038
M434_R610_1888	609.9495	434.235949469454	319	[M-H]-	434.235949469454
M434_R817_1889	816.7465	434.072690552498	915	[M-H]-	434.072690552498
M434_R494_1890	494.4575	434.228318858129	469	[M-H]-	434.228318858129
M434_R217_1891	217.0715	434.203747415481	473	[M-H]-	434.203747415481
M434_R666_1893	666.015	434.326466838116	1157	[M-H]-	434.326466838116
M435_R889_1894	889.209	434.767594557261	455.5	[M-H]-	434.767594557261
M435_R893_1897	892.935	434.780900779202	380	[M-H]-	434.780900779202
M435_R632_1899	632.43	435.243833070544	11960	[M-H]-	435.243833070544
M435_R853_1901	853.389	435.300052751292	2417	[M-H]-	435.300052751292
M435_R639_1902	639.246	435.294290596633	544	[M-H]-	435.294290596633
M435_R710_1903	709.6485	435.296840554606	5073	[M-H]-	435.296840554606
