"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
"DTXSID00379268","356-02-5","ISFKSWMQWIRDNC-UHFFFAOYSA-N","C6H5F7O2","242.01777694","O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00379288","7589-43-7","OPDPCHBOZHWKOZ-NTSWFWBYSA-N","C9H10F7I","377.97154586","FC(F)(F)C(F)(F)C(F)(F)[C@H]1CCCC[C@H]1I"
"DTXSID00379561","16753-33-6","YUFOZPVITJRTPY-UHFFFAOYSA-N","C19H3F35O2","927.957417036","COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00379566","203302-98-1","CJFAZQXPXXDAQR-UHFFFAOYSA-N","C12H3F21O2","577.979771956","COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00379703","181042-39-7","QZDCHCYMFXJOCS-UHFFFAOYSA-N","C10H13F9O","320.082269016","OCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00379783","25965-83-7","DZZAHYHMWKNGLC-UHFFFAOYSA-N","C11H7F11O2","380.027039884","C=C(C)C(=O)OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F"
"DTXSID00379829","41405-35-0","SQQWEKUYKNKPOG-UHFFFAOYSA-N","C7HClF12O","363.952430972","O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F"
"DTXSID00379884","54009-81-3","BKXKCZGEIQKTBI-UHFFFAOYSA-N","C8H5F11O","326.0164752","FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)CC1CO1"
"DTXSID00379925","52447-23-1","MPWXHQITWLFMQM-UHFFFAOYSA-N","C9ClF17O","481.93662204","O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00379960","10331-08-5","ISIIJJQHILZBPB-UHFFFAOYSA-N","C8H4F14O","382.003859828","OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F"
"DTXSID00379980","242812-05-1","VEAHUEAEPJJBDN-UHFFFAOYSA-N","C12H11F13O2","434.055146452","CC(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID00380031","376-03-4","XJRHWVMSUNRDCA-UHFFFAOYSA-N","C13F28","687.95529016","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
