"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
36,NA,"ZVYZWOLDZMWXAQ-UHFFFAOYSA-N","C13H5F13N2O3",484.00925888,"O=C(Nc1ccc([N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
37,NA,"ODCGSXFIHQYHBY-UHFFFAOYSA-N","C11H5F9N2O3",384.015646,"O=C(Nc1ccc([N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
38,NA,"HQOLLMKLYTYSHA-UHFFFAOYSA-N","C10H5F7N2O3",334.01883956,"O=C(Nc1ccc([N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)F"
39,NA,"NVOHYTMPHXLVPF-UHFFFAOYSA-N","C12H4F11N3O6",494.992445268,"O=[N+]([O-])c1ccc(N=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)c([N+](=O)[O-])c1"
40,NA,"HEVDQVCIAUCJDV-UHFFFAOYSA-N","C10H4F7NO4",335.002855148,"O=C(Oc1ccc([N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)F"
41,NA,"RGOZNZUAXTXBNG-UHFFFAOYSA-N","C12H6F11NO3",421.017203472,"O=[N+]([O-])c1ccc(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1"
42,NA,"AZABPWAOUQABLY-UHFFFAOYSA-N","C10H6F7NO3",321.023590592,"O=[N+]([O-])c1ccc(OCC(F)(F)C(F)(F)C(F)(F)F)cc1"
43,NA,"IXFBWEUABZKVQQ-UHFFFAOYSA-N","C10H4F7N3O2",331.019173908,"O=[N+]([O-])c1ccc2nc(C(F)(F)C(F)(F)C(F)(F)F)[nH]c2c1"
44,NA,"ZLFGSBKCGQBTKE-UHFFFAOYSA-N","C6H3F9N2O2",306.005081316,"N=C(C[N+](=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
45,"355-91-9","PAESHGHUQXDFGZ-UHFFFAOYSA-N","C6H5F7N2O4",302.01375418,"O=[N+]([O-])CC(C[N+](=O)[O-])C(F)(F)C(F)(F)C(F)(F)F"
46,"34839-44-6","JTINRXZCXXXKMA-UHFFFAOYSA-N","C6H4F9NO3",309.004746968,"O=[N+]([O-])OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
47,NA,"FNPQQUYBBRHUFI-UHFFFAOYSA-N","C12H13F13N2O3",480.071859136,"C[N+](C)([O-])CCCN=C(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F"
