"ID","CAS","INCHIKEY","FORMULA","MONOISOTOPIC_MASS","SMILES"
"DTXSID80895173","CAS_RN: 503189-10-4","ADXRMDFVKSPFQM-UHFFFAOYSA-N","C7H5F11",298.02156058,"CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID80895734","CAS_RN: 240408-96-2","ADYNCUBVNWLXQE-UHFFFAOYSA-N","C9H3F13O2",389.992546196,"C=COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID70565479","CAS_RN: 13973-14-3","AEBAYKKLSQLBDU-UHFFFAOYSA-N","C8H2F14O2",395.983124384,"O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F"
"",NA,"AEMIKYUDMNDMLZ-UHFFFAOYSA-N","C5HF9O",247.988368632,"OC(F)(F)C(F)(F)C(F)=C(F)C(F)(F)F"
"DTXSID40896045","CAS_RN: 135587-17-6","AENHPCRNEPBZQL-UHFFFAOYSA-N","C16H15F17INO3Si",746.95944761,"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(I)[Si]12OCCN(CCO1)CCO2"
"","CAS_RN: 68156-06-9","AETAZWKHJUBBOA-UHFFFAOYSA-N","C8F16O2S",463.93635176,"O=S(=O)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)F"
"DTXSID10895742","CAS_RN: 4314-38-9","AEYHDUCQLIENJA-UHFFFAOYSA-N","C8H3F15N2O",428.000586016,"N=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID10895444","CAS_RN: 38787-60-9","AEYWRUOLWSDNSX-UHFFFAOYSA-N","C14H13F15",466.077773716,"CCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID40892547","CAS_RN: 1432486-91-3","AFBMPICOPALERX-UHFFFAOYSA-N","C15H17F15N2O4S",606.066951324,"CN(C)CCCN(CCC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID40881350","CAS_RN: 919005-14-4","AFDRCEOKCOUICI-UHFFFAOYSA-N","C7H2F12O4",377.976147184,"O=C(O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F"
"DTXSID50187299","CAS_RN: 336-61-8","AFGARRAOIQHNDW-UHFFFAOYSA-N","C10H6F7NO",289.033761352,"O=C(Nc1ccccc1)C(F)(F)C(F)(F)C(F)(F)F"
"DTXSID4059912","CAS_RN: 374-98-1","AFHPVXVEXINDFS-UHFFFAOYSA-N","C4H2F7I",309.908945604,"FC(F)(F)C(F)(F)C(F)(F)CI"
"DTXSID70881020","CAS_RN: 93776-03-5","AFHRHKTUTFIHHJ-UHFFFAOYSA-N","C38H24F54O5",1586.076147748,"CC(COCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)OC(C)COCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F"
"DTXSID00895711","CAS_RN: 340157-97-3","AFJHWCKFHITISQ-UHFFFAOYSA-N","C16H8BrF17",601.953792096,"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCc1cccc(Br)c1"
"DTXSID50181999","CAS_RN: 27607-42-7","AFNLZEWJLHEBLO-UHFFFAOYSA-N","C12H10F17NO",507.04909368,"OCCNCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
