PREFERRED_NAME,LIST_ID,INCHIKEY,FORMULA,MONOISOTOPIC_MASS,SMILES,NumHDonors,NumHAcceptors,TYPE,MD,KMD,modulo,parent,rep_unit,rep_mass,rep_num,residual,residual_charge,residual_mass,ACRONYM
(Nonafluorobutyl)phosphonic acid,OECDPFAS_list_22012019.csv,AUBOIAPNLUHLAF-UHFFFAOYSA-N,C4H2F9O3P,299.9597844,OP(O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2,1,Suspect,-0.0402156,0.021055585,49.9757522,C4H2F9O3P,CF2,49.99680644,4,H2F1O3P1,neutral,99.97255877,NA
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Nonadecafluorodecan-1-amine",OECDPFAS_list_22012019.csv,DCHFZFZWTAMCEN-UHFFFAOYSA-N,C10H4F19N,499.0040342,NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,0.0040342,-0.035908222,49.03277624,C10H4F19N,CF2,49.99680644,9,C1H4F1N1,neutral,49.03277735,NA
"2-Amino-6,6,7,7,8,8,8-heptafluorooctanoic acid",OECDPFAS_list_22012019.csv,MGASSUZKIICAIW-UHFFFAOYSA-N,C8H10F7NO2,285.0599757,NC(CCCC(F)(F)C(F)(F)C(F)(F)F)C(O)=O,2,2,Suspect,0.0599757,-0.078183986,35.0759435,C8H10F7NO2,CF2,49.99680644,3,C5H10F1N1O2,neutral,135.0695568,NA
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,15-Heptacosafluoropentadecan-1-ol",OECDPFAS_list_22012019.csv,VQXBYKPWJNOTLT-UHFFFAOYSA-N,C15H5F27O,713.9909252,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,-0.0090748,-0.03653157,14.03563504,C15H5F27O,CF2,49.99680644,13,C2H5F1O1,neutral,64.032443,NA
"2,2,3,3,4,4,4-Heptafluoro-N-methylbutanamide",OECDPFAS_list_22012019.csv,SYNCJBMZJQYPLW-UHFFFAOYSA-N,C5H4F7NO,227.0181109,CNC(=O)C(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,0.0181109,-0.032611745,27.03088514,C5H4F7NO,CF2,49.99680644,3,C2H4F1N1O1,neutral,77.02769197,NA
2-(Heptafluoropropyl)-1H-pyrrole,OECDPFAS_list_22012019.csv,DQZLODWGSHAXSQ-UHFFFAOYSA-N,C7H4F7N,235.0231963,FC(F)(F)C(F)(F)C(F)(F)c1Nccc1,1,0,Suspect,0.0231963,-0.038208472,35.03597054,C7H4F7N,CF2,49.99680644,3,C4H4F1N1,neutral,85.03277735,NA
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluoro-2-methyldecanoic acid",OECDPFAS_list_22012019.csv,LYZCGZWGQVKVSU-UHFFFAOYSA-N,C11H5F17O2,492.0018082,CC(C(O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,1,Suspect,0.0018082,-0.033234953,42.03055024,C11H5F17O2,CF2,49.99680644,8,C3H5F1O2,neutral,92.02735762,NA
(Heptadecafluorooctyl)phosphonic acid--4-methylaniline (1/1),OECDPFAS_list_22012019.csv,HCQGOEPPLQBECU-UHFFFAOYSA-N,C15H11F17NO3P,607.020509,Cc1ccc(N)cc1.OP(O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,2,Suspect,0.020509,-0.059282605,7.05883172,C15H11F17NO3P,CF2,49.99680644,8,C7H11F1N1O3P1,neutral,207.0460581,NA
"3,3,4,4,5,5,6,6,6-Nonafluoro-1-nitrohex-1-en-2-amine",OECDPFAS_list_22012019.csv,KOWLYEPMLCWOSK-UHFFFAOYSA-N,C6H3F9N2O2,306.0050808,NC(=C[N+]([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,3,Suspect,0.0050808,-0.02462696,6.02424216,C6H3F9N2O2,CF2,49.99680644,4,C2H3F1N2O2,neutral,106.0178556,NA
"16,16,17,17,18,18,19,19,20,20,21,21,22,22,22-Pentadecafluoro-3,6,9,12,15-pentaoxadocosan-1-ol",OECDPFAS_list_22012019.csv,KZKAFTRHTVZIGR-UHFFFAOYSA-N,C17H21F15O6,606.1098608,OCCOCCOCCOCCOCCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,6,Suspect,0.1098608,-0.148576237,6.14818352,C17H21F15O6,CF2,49.99680644,7,C10H21F1O6,neutral,256.1322166,NA
